ID	Protein	Name
WP_205702185.1	Can2	
WP_181372095.1	Can2	
WP_015906768.1	Can2	
NC_013926.1_141	Can1	
WP_190562194.1	Can2	
NC_012034.1_2730	Can1	
NC_014720.1_2597	Can1	
NC_009437.1_530	Can2	
NC_014657.1_2231	Can1	
NZ_CP071444.1_1507	Can1	
NC_015519.1_123	Can2	
NC_019954.2_125	Can2	
NZ_CM000955.1_485	Can1	
NC_010376.1_1333	Can2	
NZ_CP054000.1_1902	Can1	
WP_013777255.1	Can2	
WP_045217690.1	Can2	
WP_155752202.1	Can2	
NC_016751.1_1021	Can1	
NZ_CP009226.1_482	Can1	
NZ_CP009226.1_487	Can1	
NZ_CP009226.1_494	Can1	
NZ_CP010953.1_486	Can1	
NZ_CP027287.1_547	Can1	
NZ_CP051880.1_10	Can1	
NZ_CP072664.1_473	Can1	
NZ_CP072665.1_467	Can1	
NZ_LS483431.1_455	Can1	
NC_008599.1_476	Can1	
NZ_CP006999.2_462	Can1	
NZ_CP014568.1_524	Can1	
NZ_CP059432.1_1489	Can1	
NZ_CP059443.1_459	Can1	
WP_100821486.1	Can2	
WP_159451515.1	Can2	
NZ_CP007121.1_821	Can1	
NZ_CP007223.1_808	Can1	
WP_157558899.1	Can2	
WP_011916068.1	Can2	
NZ_AP018288.1_614	Can2	
NC_010320.1_1911	Can2	
NC_014538.1_1120	Can2	
NZ_LT859958.1_856	Can2	
WP_019491837.1	Can2	
NZ_LT669839.1_1029	Can2	
WP_078257077.1	Can2	
WP_087861857.1	Can2	
WP_129675885.1	Can2	
WP_190519820.1	Can2	
NZ_CP071065.1_3382	Can2	
NC_015499.1_826	Can2	
WP_206268547.1	Can2	
NZ_CP058649.1_3548	Can2	
WP_013756181.1	Can2	
WP_212694673.1	Can2	
WP_072965636.1	Can2	
NZ_CP022121.1_3526	Can2	
WP_200246701.1	Can2	
NC_010175.1_2595	Can2	
NC_012032.1_2585	Can2	
WP_089612272.1	Can2	
WP_012258134.1	Can2	
WP_105367442.1	Can2	
WP_045409626.1	Can2	
WP_190466413.1	Can2	
WP_096552078.1	Can2	
WP_206477952.1	Can2	
NC_010321.1_945	Can2	
NC_014964.1_944	Can2	
WP_133516973.1	Can2	
NC_013194.1_1414	Can2	
WP_004401173.1	Can2	
WP_012269226.1	Can2	
NC_008346.1_2661	Can2	
WP_009784434.1	Can2	
WP_015765946.1	Can2	
NC_007776.1_2396	Can1	
WP_200157795.1	Can2	
WP_190495929.1	Can2	
WP_073639039.1	Can2	
NZ_CP008796.1_1548	Can2	
NZ_CP043908.1_70	Can2	
NZ_LT906662.1_303	Can2	
WP_038062770.1	Can2	
WP_150071136.1	Can2	
WP_022854767.1	Can2	
WP_028841540.1	Can2	
WP_014757759.1	Can2	
WP_083626994.1	Can2	
WP_190370300.1	Can2	
WP_085112814.1	Can2	
WP_190551811.1	Can2	
WP_200389531.1	Can2	
WP_016949981.1	Can2	
WP_006786740.1	Can2	
NC_019772.1_29	Can2	
NZ_AP018167.1_78	Can2	
WP_020155440.1	Can2	
WP_015217575.1	Can2	
WP_096230300.1	Can2	
WP_183254423.1	Can2	
NZ_CP020452.2_1591	Can2	
WP_193982342.1	Can2	
NZ_CP008934.1_297	Can2	
WP_132770418.1	Can2	
WP_027339128.1	Can2	
WP_147780928.1	Can2	
WP_150200063.1	Can2	
WP_049257644.1	Can2	
WP_153715886.1	Can2	
WP_064087800.1	Can2	
WP_049225897.1	Can2	
NZ_CP018058.1_2541	Can2	
WP_053413645.1	Can2	
WP_034447846.1	Can2	
WP_001024633.1	Can2	
WP_097678094.1	Can2	
WP_033703749.1	Can2	
WP_001024603.1	Can2	
WP_001024636.1	Can2	
WP_156533868.1	Can2	
WP_165510413.1	Can2	
WP_039089814.1	Can2	
WP_197301463.1	Can2	
WP_001024647.1	Can2	
WP_156577083.1	Can2	
WP_001024660.1	Can2	
WP_001024646.1	Can2	
WP_120922278.1	Can2	
WP_001024637.1	Can2	
WP_187875089.1	Can2	
WP_097702407.1	Can2	
WP_150181122.1	Can2	
WP_089087334.1	Can2	
WP_001024634.1	Can2	
WP_156569353.1	Can2	
WP_120801170.1	Can2	
WP_021187534.1	Can2	
WP_001024626.1	Can2	
WP_077645371.1	Can2	
WP_156580211.1	Can2	
WP_156569957.1	Can2	
WP_156578909.1	Can2	
WP_001024619.1	Can2	
WP_209505852.1	Can2	
WP_165558510.1	Can2	
WP_165515071.1	Can2	
WP_165551263.1	Can2	
WP_143407715.1	Can2	
WP_197307889.1	Can2	
WP_001024628.1	Can2	
WP_025448175.1	Can2	
WP_077644400.1	Can2	
WP_197304376.1	Can2	
WP_120921078.1	Can2	
WP_209613954.1	Can2	
WP_121275387.1	Can2	
WP_001024600.1	Can2	
WP_121044515.1	Can2	
WP_033621042.1	Can2	
WP_165531488.1	Can2	
WP_163524338.1	Can2	
WP_033595788.1	Can2	
WP_156581360.1	Can2	
WP_001024604.1	Can2	
WP_165507942.1	Can2	
WP_165511713.1	Can2	
WP_120894865.1	Can2	
WP_108284171.1	Can2	
WP_033612578.1	Can2	
WP_033598228.1	Can2	
WP_033777105.1	Can2	
WP_121502174.1	Can2	
WP_202137084.1	Can2	
WP_120860960.1	Can2	
WP_120920283.1	Can2	
WP_033621378.1	Can2	
WP_033767071.1	Can2	
WP_143424132.1	Can2	
WP_108392115.1	Can2	
WP_108273532.1	Can2	
WP_064437029.1	Can2	
NZ_CP035042.1_1525	Can2	
WP_089113944.1	Can2	
WP_025949145.1	Can2	
NC_009699.1_2156	Can2	
WP_208377300.1	Can2	
WP_221364616.1	Can2	
WP_198608948.1	Can2	
WP_159550681.1	Can2	
WP_007156576.1	Can2	
WP_012100153.1	Can2	
WP_170166062.1	Can2	
NZ_CP059566.1_838	Can2	
NZ_CP072524.1_721	Can2	
WP_039854568.1	Can2	
NC_004603.1_902	Can2	
NC_019955.1_912	Can2	
NC_021847.1_1244	Can2	
NC_021848.1_1677	Can2	
NZ_CP007004.1_1062	Can2	
NZ_CP009765.1_2083	Can2	
NZ_CP009847.1_915	Can2	
NZ_CP009982.1_1998	Can2	
NZ_CP010883.1_993	Can2	
NZ_CP011406.1_986	Can2	
NZ_CP011884.1_2092	Can2	
NZ_CP012950.1_1990	Can2	
NZ_CP013826.1_2001	Can2	
NZ_CP019059.1_839	Can2	
NZ_CP020034.1_2108	Can2	
NZ_CP020427.2_757	Can2	
NZ_CP022243.1_964	Can2	
NZ_CP022473.1_2092	Can2	
NZ_CP022552.2_1296	Can2	
NZ_CP023472.1_2124	Can2	
NZ_CP023710.1_1853	Can2	
NZ_CP026041.1_2533	Can2	
NZ_CP028141.1_1919	Can2	
NZ_CP028342.1_1932	Can2	
NZ_CP028481.1_925	Can2	
NZ_CP031781.1_1982	Can2	
NZ_CP033141.1_2153	Can2	
NZ_CP034285.1_2008	Can2	
NZ_CP034289.1_2076	Can2	
NZ_CP034294.1_2040	Can2	
NZ_CP034298.1_976	Can2	
NZ_CP034305.1_2195	Can2	
NZ_CP034565.1_836	Can2	
NZ_CP035701.1_975	Can2	
NZ_CP040100.1_2108	Can2	
NZ_CP040101.1_2419	Can2	
NZ_CP040103.1_1124	Can2	
NZ_CP041202.1_2162	Can2	
NZ_CP044062.1_1373	Can2	
NZ_CP044071.1_1477	Can2	
NZ_CP045794.1_2611	Can2	
NZ_CP046411.1_1057	Can2	
NZ_CP046754.1_1933	Can2	
NZ_CP046760.1_1839	Can2	
NZ_CP046763.1_2037	Can2	
NZ_CP046776.1_2144	Can2	
NZ_CP046778.1_611	Can2	
NZ_CP046779.1_1392	Can2	
NZ_CP046782.1_1014	Can2	
NZ_CP046783.1_407	Can2	
NZ_CP046785.1_11	Can2	
NZ_CP046787.1_1275	Can2	
NZ_CP046808.1_412	Can2	
NZ_CP046828.1_2220	Can2	
NZ_CP046831.1_1973	Can2	
NZ_CP051100.1_836	Can2	
NZ_CP051111.1_1768	Can2	
NZ_CP051113.1_2437	Can2	
NZ_CP065369.1_1647	Can2	
NZ_CP066156.1_865	Can2	
NZ_CP066160.1_924	Can2	
NZ_CP066244.1_891	Can2	
NZ_CP069236.1_1423	Can2	
NZ_CP060088.1_949	Can2	
NZ_CP073068.1_2011	Can2	
NZ_CP046761.1_1880	Can2	
NZ_CP023485.1_908	Can2	
NZ_CP013248.1_898	Can2	
NZ_CP043421.1_2214	Can2	
NZ_CP014046.2_2764	Can2	
NZ_CP012154.1_2138	Can2	
WP_190351006.1	Can2	
WP_070440464.1	Can2	
WP_070496595.1	Can2	
WP_209283154.1	Can2	
NZ_CP031251.1_1225	Can2	
NZ_CP065435.1_1256	Can2	
NZ_CP046704.1_40	Can2	
NZ_CP053381.1_1189	Can2	
WP_107696942.1	Can2	
WP_190755865.1	Can2	
WP_114082155.1	Can2	
WP_209538751.1	Can2	
WP_197450132.1	Can2	
WP_029452505.1	Can2	
WP_073026341.1	Can2	
WP_183681619.1	Can2	
WP_181515071.1	Can2	
WP_070591193.1	Can2	
WP_115117554.1	Can2	
NZ_CP022297.1_815	Can2	
WP_077678044.1	Can2	
WP_077481884.1	Can2	
WP_151442415.1	Can2	
NZ_AP018254.1_2924	Can2	
NZ_LR594040.1_1104	Can2	
WP_198984837.1	Can2	
WP_101755036.1	Can2	
2611627417	Can2	
WP_206839728.1	Can2	
NZ_CP045417.1_2567	Can2	
NZ_CP053383.1_1339	Can2	
WP_096622763.1	Can2	
WP_162010622.1	Can2	
WP_172976083.1	Can2	
WP_219792893.1	Can2	
WP_209477197.1	Can2	
NZ_CP013251.1_2141	Can2	
WP_046536225.1	Can2	
NC_010424.1_1878	Can2	
NZ_CP034260.1_1739	Can2	
WP_107884510.1	Can2	
WP_116644304.1	Can2	
WP_077609145.1	Can2	
NZ_CP053382.1_1257	Can2	
WP_114573071.1	Can2	
WP_010629370.1	Can2	
WP_149328860.1	Can2	
WP_034873185.1	Can2	
WP_041570921.1	Can2	
WP_086511189.1	Can2	
NZ_CP047630.1_1655	Can2	
NZ_CP032093.1_908	Can2	
WP_197568315.1	Can2	
WP_006621257.1	Can2	
NZ_LT906662.1_2752	Can2	
NZ_CP019962.1_2156	Can2	
NZ_LR215983.1_2407	Can2	
NZ_CP032034.1_28	Can2	
WP_188208558.1	Can2	
WP_149545188.1	Can2	
WP_096232348.1	Can2	
NZ_LT635456.1_1527	Can2	
NZ_LT635458.1_1529	Can2	
NZ_LT635459.1_1520	Can2	
NZ_LT635460.1_1527	Can2	
NZ_LT635471.1_1525	Can2	
NZ_LT635472.1_1526	Can2	
NZ_LT635473.1_1531	Can2	
NZ_LT635474.1_1519	Can2	
NZ_LT635476.1_1522	Can2	
NZ_LT635477.1_1527	Can2	
NZ_LT635478.1_1522	Can2	
NZ_LT837687.1_1523	Can2	
NZ_LT838273.1_970	Can2	
NZ_CP071977.1_1510	Can2	
NZ_CP071986.1_1489	Can2	
NZ_CP071987.1_1478	Can2	
NZ_CP048601.1_278	Can2	
NZ_CP051292.1_1519	Can2	
NZ_CP011484.1_1515	Can2	
WP_038353535.1	Can2	
WP_172611105.1	Can2	
WP_165530156.1	Can2	
WP_215690231.1	Can2	
WP_165807651.1	Can2	
NZ_CP034661.1_2036	Can2	
NZ_CP033914.1_696	Can2	
NZ_CP033922.1_4708	Can2	
WP_148528783.1	Can2	
WP_217533713.1	Can2	
WP_107008442.1	Can2	
WP_182760869.1	Can2	
NZ_AP017367.1_4665	Can2	
WP_207146526.1	Can2	
WP_206754605.1	Can2	
WP_084660425.1	Can2	
WP_078786378.1	Can2	
WP_146063814.1	Can2	
WP_068515413.1	Can2	
WP_081717026.1	Can2	
WP_127685085.1	Can2	
WP_169068951.1	Can2	
WP_163559339.1	Can2	
NZ_CP022089.2_2838	Can2	
2787471886	Can2	
WP_179214394.1	Can2	
WP_201991565.1	Can2	
WP_211067381.1	Can2	
WP_216978718.1	Can2	
NZ_CP047963.1_73	Can2	
WP_184149957.1	Can2	
NZ_CP032093.1_1244	Can2	
WP_089687199.1	Can2	
WP_163575038.1	Can2	
NZ_CP043902.1_41	Can2	
WP_192959126.1	Can2	
NZ_AP018712.1_1927	Can2	
NZ_CP011914.1_2588	Can2	
WP_016868904.1	Can2	
WP_146007567.1	Can2	
WP_161507923.1	Can2	
WP_128810752.1	Can2	
WP_073258658.1	Can2	
NZ_CP012067.1_2157	Can2	
WP_187367971.1	Can2	
WP_208067062.1	Can2	
WP_177190720.1	Can2	
WP_058695159.1	Can2	
WP_180494220.1	Can2	
WP_216545852.1	Can2	
WP_195267143.1	Can2	
WP_220458540.1	Can2	
WP_217542496.1	Can2	
WP_207570189.1	Can2	
NC_008553.1_688	Can2	
NZ_LR134327.1_2084	Can2	
NC_012913.1_1318	Can2	
NZ_CP009230.1_1294	Can2	
NZ_CP025746.1_150	Can2	
WP_169065287.1	Can2	
WP_011695831.1	Can2	
WP_134983386.1	Can2	
WP_132776372.1	Can2	
NZ_CP014223.1_203	Can2	
NZ_CP039031.1_114	Can2	
NZ_CP040098.1_2977	Can2	
NZ_CP073241.1_2176	Can2	
NZ_LR884459.1_2777	Can2	
WP_159430654.1	Can2	
WP_140973295.1	Can2	
WP_071850507.1	Can2	
WP_180187238.1	Can2	
WP_004780566.1	Can2	
WP_043974596.1	Can2	
WP_104489077.1	Can2	
WP_104491994.1	Can2	
WP_177155209.1	Can2	
NC_019902.2_1492	Can2	
NZ_CP007029.1_1872	Can2	
NZ_CP014360.1_3256	Can2	
WP_004681128.1	Can2	
WP_004956658.1	Can2	
WP_212515145.1	Can2	
WP_201499426.1	Can2	
NZ_CP009503.1_2936	Can2	
WP_205694952.1	Can2	
WP_140201092.1	Can2	
WP_015258284.1	Can2	
WP_006747397.1	Can2	
WP_064022456.1	Can2	
WP_202054357.1	Can2	
WP_201583292.1	Can2	
WP_188007123.1	Can2	
WP_201549382.1	Can2	
WP_149489211.1	Can2	
WP_045455976.1	Can2	
WP_183618546.1	Can2	
WP_201634024.1	Can2	
WP_048159230.1	Can2	
WP_202272068.1	Can2	
WP_205702127.1	Can2	
WP_205253090.1	Can2	
WP_154646739.1	Can2	
WP_156831495.1	Can2	
WP_148519854.1	Can2	
WP_172884651.1	Can2	
WP_066083349.1	Can2	
NZ_CP033598.1_1013	Can2	
NZ_CP023516.1_547	Can2	
NZ_CP023972.1_603	Can2	
2521798318	Can2	
WP_118581080.1	Can2	
WP_128014430.1	Can2	
WP_201546833.1	Can2	
WP_019672857.1	Can2	
WP_215677039.1	Can2	
2517374506	Can2	
NZ_CP039268.1_1024	Can2	
NC_017846.2_1817	Can2	
NZ_CM001580.1_167	Can2	
NZ_CP020403.2_1830	Can2	
NZ_CP038871.1_1018	Can2	
NC_016808.1_1103	Can2	
NZ_CM002276.1_1308	Can2	
NZ_CP003328.1_1050	Can2	
NZ_CP006976.1_1075	Can2	
NZ_CP008918.1_1821	Can2	
NZ_CP014618.1_960	Can2	
NZ_CP015558.1_1564	Can2	
NZ_CP015559.1_633	Can2	
NZ_CP015560.1_574	Can2	
NZ_CP015561.1_1551	Can2	
NZ_CP015562.1_1542	Can2	
NZ_CP015563.1_1561	Can2	
NZ_CP015564.1_1572	Can2	
NZ_CP015565.1_1563	Can2	
NZ_CP015566.1_1561	Can2	
NZ_CP015568.1_1472	Can2	
NZ_CP015567.1_1703	Can2	
NZ_CP015569.1_2142	Can2	
NZ_CP015570.1_574	Can2	
NZ_CP015572.1_634	Can2	
NZ_CP015573.1_1562	Can2	
NZ_CP026861.1_1060	Can2	
NZ_CP029322.1_1007	Can2	
NZ_CP031551.1_368	Can2	
NZ_CP031552.1_367	Can2	
NZ_CP031553.1_373	Can2	
NZ_CP031554.1_367	Can2	
NZ_CP033599.1_1118	Can2	
NZ_CP033600.1_1085	Can2	
NZ_CP040848.1_373	Can2	
NZ_CP040918.1_374	Can2	
NZ_CP045724.1_1109	Can2	
NZ_CP061052.1_1094	Can2	
NZ_LT906458.1_1050	Can2	
NZ_CM001581.1_175	Can2	
NZ_CP020405.2_1416	Can2	
NC_017027.1_1107	Can2	
NC_017764.1_1124	Can2	
NZ_CP030096.1_957	Can2	
NZ_CP058991.1_1043	Can2	
NZ_CP058992.1_1740	Can2	
NZ_CP058993.1_1043	Can2	
NZ_CP058994.1_1043	Can2	
NZ_CP058995.1_1043	Can2	
NZ_CP059064.1_1740	Can2	
NZ_CP059065.1_1740	Can2	
NZ_CP017961.1_1280	Can2	
NZ_CP052764.1_1265	Can2	
NZ_CP052765.1_1265	Can2	
NZ_CP066223.1_1277	Can2	
NZ_CP072655.1_1719	Can2	
NZ_LR134532.1_1125	Can2	
NZ_LR134298.1_1999	Can2	
NZ_CP004392.1_620	Can2	
NZ_CP048402.1_1040	Can2	
NZ_CP037865.1_1121	Can2	
NZ_CP037861.1_1153	Can2	
NZ_CP073238.1_897	Can2	
NZ_CP007205.2_1126	Can2	
NZ_CP014157.1_400	Can2	
NZ_CP033597.1_1069	Can2	
NZ_CP038872.1_748	Can2	
NZ_CP038873.1_781	Can2	
NZ_CP038874.1_1549	Can2	
NZ_CP038875.1_1023	Can2	
NZ_CP048792.1_1021	Can2	
NZ_LS483473.1_1124	Can2	
NZ_LR134488.1_363	Can2	
NZ_LT906448.1_1101	Can2	
NZ_CP012958.1_809	Can2	
NZ_CP007502.1_1533	Can2	
NZ_CP065604.1_537	Can2	
NZ_CP012959.1_543	Can2	
NZ_CP016553.1_2093	Can2	
WP_193485123.1	Can2	
WP_072852723.1	Can2	
WP_205133254.1	Can2	
NZ_CP009511.1_1365	Can2	
NZ_LT629785.1_1918	Can2	
NZ_LR134303.1_3963	Can2	
NZ_CP031775.2_2131	Can2	
NZ_CP016605.1_1162	Can2	
NZ_CP018624.1_29	Can2	
NZ_CP018630.1_28	Can2	
NZ_LT799839.1_27	Can2	
NZ_CP027286.1_27	Can2	
WP_048043116.1	Can2	
WP_048037773.1	Can2	
WP_004037866.1	Can2	
WP_186443137.1	Can2	
2667952847	Can2	
WP_090194558.1	Can2	
WP_008609484.1	Can2	
WP_164717951.1	Can2	
WP_172481170.1	Can2	
WP_208662587.1	Can2	
WP_007288114.1	Can2	
WP_152659045.1	Can2	
NZ_CP027017.1_754	Can2	
NZ_CP031393.1_748	Can2	
WP_132022578.1	Can2	
WP_087294713.1	Can2	
2612049424	Can2	
NZ_AP018685.1_1011	Can2	
WP_169847306.1	Can2	
2672467665	Can2	
WP_047872370.1	Can2	
WP_072054936.1	Can2	
WP_155667021.1	Can2	
NZ_CP023671.1_1607	Can2	
NZ_CP034358.1_578	Can2	
2541315202	Can2	
WP_178018251.1	Can2	
NZ_CP009528.1_207	Can2	
WP_216427872.1	Can2	
WP_182432394.1	Can2	
NZ_AP017367.1_4660	Can2	
2579720208	Can2	
WP_164655530.1	Can2	
WP_007907053.1	Can2	
NZ_CP025796.1_3090	Can2	
NZ_CP011382.1_410	Can2	
WP_162008606.1	Can2	
WP_048154160.1	Can2	
NZ_CP009238.1_1092	Can2	
NZ_CP024176.2_430	Can2	
NZ_CP024185.2_430	Can2	
WP_068515399.1	Can2	
WP_095643422.1	Can2	
WP_186343003.1	Can2	
WP_200388022.1	Can2	
WP_045411857.1	Can2	
NZ_LR134488.1_560	Can2	
WP_025446432.1	Can2	
WP_198542543.1	Can2	
WP_067056231.1	Can2	
2598632410	Can2	
WP_077315903.1	Can2	
WP_050323880.1	Can2	
WP_200345551.1	Can2	
WP_073038649.1	Can2	
NZ_LR134514.1_737	Can2	
NZ_CP004392.1_314	Can2	
NZ_CP055306.1_418	Can2	
WP_126372818.1	Can2	
WP_118479810.1	Can2	
WP_118284793.1	Can2	
WP_002682772.1	Can2	
WP_053939111.1	Can2	
WP_017031741.1	Can2	
WP_102442920.1	Can2	
WP_102382263.1	Can2	
WP_102472405.1	Can2	
WP_137010611.1	Can2	
NC_015672.1_1381	Can2	
WP_119352501.1	Can2	
NZ_LR134490.1_991	Can2	
2518751151	Can2	
2629926073	Can2	
WP_064968866.1	Can2	
WP_115098401.1	Can2	
WP_126417543.1	Can2	
WP_046333287.1	Can2	
WP_064318095.1	Can2	
WP_118867777.1	Can2	
WP_206755040.1	Can2	
NZ_CP018308.1_203	Can2	
NZ_CP033577.1_683	Can2	
NZ_CP009354.1_1880	Can2	
2505698236	Can2	
WP_013886477.1	Can2	
WP_070114615.1	Can2	
NZ_LR134171.1_680	Can2	
2533930091	Can2	
2535547560	Can2	
2632263591	Can2	
2635483882	Can2	
WP_126513539.1	Can2	
WP_046943222.1	Can2	
WP_007526914.1	Can2	
WP_136438022.1	Can2	
WP_040034058.1	Can2	
WP_135710642.1	Can2	
WP_075916194.1	Can2	
WP_065246275.1	Can2	
WP_005634016.1	Can2	
WP_111313578.1	Can2	
WP_111937728.1	Can2	
WP_072935230.1	Can2	
NZ_CP045355.1_1080	Can2	
NZ_CP046065.1_1083	Can2	
NZ_CP046162.1_1082	Can2	
NZ_CP045350.1_1774	Can2	
NZ_CP014056.2_2838	Can2	
NZ_CP046810.1_1288	Can2	
NZ_CP046851.1_410	Can2	
NZ_CP035690.1_1231	Can2	
650361737	Can2	
2794235033	Can2	
2794347147	Can2	
2794355465	Can2	
WP_006878804.1	Can2	
WP_038192559.1	Can2	
WP_138973335.1	Can2	
WP_008073526.1	Can2	
WP_039479749.1	Can2	
WP_039483774.1	Can2	
WP_171761392.1	Can2	
WP_049843771.1	Can2	
WP_176288108.1	Can2	
WP_006072978.1	Can2	
WP_103880505.1	Can2	
WP_100798978.1	Can2	
NZ_CP050266.1_1132	Can2	
2630894112	Can2	
WP_004414481.1	Can2	
WP_038172754.1	Can2	
NZ_CP009617.1_919	Can2	
NZ_CP048693.1_2883	Can2	
NZ_CP009264.1_1960	Can2	
NZ_CP016556.1_734	Can2	
NZ_CP063051.1_656	Can2	
NZ_CP031472.1_267	Can2	
NZ_LGLS01000002.1_292	Can2	
NZ_CP039516.1_1519	Can2	
WP_053395672.1	Can2	
WP_159738362.1	Can2	
WP_038134186.1	Can2	
WP_159651889.1	Can2	
WP_198558071.1	Can2	
WP_096992586.1	Can2	
WP_008987458.1	Can2	
WP_045064700.1	Can2	
WP_107218419.1	Can2	
WP_045070100.1	Can2	
WP_107165324.1	Can2	
WP_005368651.1	Can2	
WP_045151904.1	Can2	
WP_045127855.1	Can2	
WP_105059883.1	Can2	
WP_036597989.1	Can2	
NZ_CP016307.1_1276	Can2	
NZ_CP016414.1_1583	Can2	
WP_167418944.1	Can2	
WP_053408349.1	Can2	
WP_004743161.1	Can2	
WP_171321189.1	Can2	
WP_038207139.1	Can2	
NZ_AP019657.1_1481	Can2	
WP_045955278.1	Can2	
WP_107253027.1	Can2	
WP_132963046.1	Can2	
WP_075670108.1	Can2	
2541811276	Can2	
2640797640	Can2	
2659166418	Can2	
2792155764	Can2	
WP_182107327.1	Can2	
WP_077667572.1	Can2	
WP_021616139.1	Can2	
WP_070869029.1	Can2	
WP_042600416.1	Can2	
WP_111407166.1	Can2	
WP_120737151.1	Can2	
WP_019269779.1	Can2	
2792160577	Can2	
WP_077772636.1	Can2	
2548170666	Can2	
WP_159069426.1	Can2	
NZ_CP045508.1_1240	Can2	
WP_086229344.1	Can2	
NZ_CP045338.1_922	Can2	
NZ_CP041332.1_2531	Can2	
NZ_CP062500.1_1007	Can2	
NZ_CP017916.1_1897	Can2	
2512501434	Can2	
2525294062	Can2	
2628263293	Can2	
2652731933	Can2	
WP_194437751.1	Can2	
WP_006959084.1	Can2	
WP_171748469.1	Can2	
WP_009387029.1	Can2	
WP_160931316.1	Can2	
WP_005505901.1	Can2	
WP_154124333.1	Can2	
WP_114995054.1	Can2	
WP_022947122.1	Can2	
WP_170180388.1	Can2	
NZ_CP039700.1_1877	Can2	
2581023794	Can2	
WP_016961415.1	Can2	
WP_017010151.1	Can2	
WP_102317103.1	Can2	
WP_102309408.1	Can2	
WP_102258868.1	Can2	
WP_077669372.1	Can2	
WP_102505860.1	Can2	
WP_035083228.1	Can2	
NZ_CP034970.1_2183	Can2	
NZ_CP071325.1_1111	Can2	
NZ_CP005974.1_2563	Can2	
2569557303	Can2	
2584174595	Can2	
2698524912	Can2	
2753091112	Can2	
2753095365	Can2	
2790498790	Can2	
2792184839	Can2	
2792188328	Can2	
2792191517	Can2	
2792194405	Can2	
2792197874	Can2	
2792200940	Can2	
WP_021455145.1	Can2	
WP_064488383.1	Can2	
WP_028024153.1	Can2	
WP_078752747.1	Can2	
WP_077640364.1	Can2	
WP_069588325.1	Can2	
WP_077606301.1	Can2	
WP_069362814.1	Can2	
WP_077456985.1	Can2	
WP_077480248.1	Can2	
WP_025744665.1	Can2	
WP_077486311.1	Can2	
WP_074212860.1	Can2	
NZ_CP065150.1_2131	Can2	
NZ_CP031055.1_690	Can2	
2720440775	Can2	
2721584406	Can2	
WP_045974573.1	Can2	
WP_206373772.1	Can2	
WP_006710832.1	Can2	
WP_215988019.1	Can2	
WP_090485814.1	Can2	
NZ_CP021151.1_1683	Can2	
NZ_CP035457.1_2020	Can2	
NZ_CP063049.1_676	Can2	
NZ_AP018045.1_1870	Can2	
NZ_CP018297.1_947	Can2	
NZ_CP035780.1_2464	Can2	
NZ_CP046752.1_333	Can2	
NZ_CP070624.1_1215	Can2	
NC_011753.2_1935	Can2	
2598560061	Can2	
WP_075648649.1	Can2	
WP_040988214.1	Can2	
NZ_CP016228.1_2215	Can2	
WP_159426688.1	Can2	
WP_079907468.1	Can2	
NZ_CP068055.1_236	Can2	
WP_194751069.1	Can2	
WP_039141503.1	Can2	
WP_073993657.1	Can2	
WP_162608698.1	Can2	
2600845787	Can2	
638940854	Can2	
2552980324	Can2	
2638536313	Can2	
2640598062	Can2	
